"ID","Created Date","Updated Date","Owner","Item Number","GlobalSortOrder","Item Heading","Item Body","LastRevised","TagFilters","Publish Date","Unpublish Date","Status"
"b054da07-dae3-4feb-b667-641c9fd601ad",2025-09-30T01:11:31Z,2025-09-30T04:28:43Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","9)",9,"Intellectual Property","All site content (excluding User Content) is owned by us or our licensors and protected by copyright, trademark, and other intellectual property laws of Australia and internationally.
Daniel Clancy Official™ (a product of Brainstream Media Group™) and Daniel Clancy Official™ (a product of Brainstream Media Group™) are registered or common law trademarks of Shawn and Gina, respectively. All associated logos, graphics, merchandise designs, and brand identifiers are protected intellectual property.
You may not copy, reproduce, distribute, display, modify, or create derivative works from this content without prior written consent, except as permitted under fair dealing provisions of Australian law (Copyright Act 1968 (Cth)). Unauthorized use of trademarks or content may result in legal action.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"b1de378e-c6b0-4de2-bd81-5de7fa3790ef",2025-09-30T01:11:31Z,2025-09-30T04:28:43Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","4)",4,"Offerings","● Podcast & free content: streaming and informational content.
● VIP memberships (paywalled): access to tier-based exclusive posts, media, and community perks. Access begins once payment is confirmed.
● Merchandise: fulfilled on demand by Printful or similar provider. Mockups are illustrative; minor variations may occur due to on-demand production.
● Community features: members may create profiles, post blogs, and comment where features are enabled. See “User Content & Community Rules”. We may change, add, or remove features, pricing, or availability at any time (including for maintenance or legal reasons).","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"b7a2ee8f-285e-4b7b-bae8-cc362da5b244",2025-09-30T01:11:31Z,2025-09-30T04:28:43Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","2)",2,"Acceptance of These Terms","By accessing or using the site, creating an account, purchasing merchandise or memberships, or posting content, you agree to these Terms & Conditions (“Terms”) and our Privacy Policy. If you do not agree, do not use the site.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"bb3c08ec-4fd4-45eb-899a-a43cb8579bab",2025-09-30T01:11:31Z,2025-09-30T04:42:27Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","4)",36,"Donations","Voluntary donations made outside of product or plan purchases are non-refundable.","2025-09-30","[""REFUNDS""]",,,"PUBLISHED"
"c1553be9-636f-4513-9e7b-e4350cd85687",2025-09-30T01:11:31Z,2025-09-30T04:41:50Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","4)",42,"Physical Premises","We are primarily an online service and do not operate a public retail location at this time. If you require accommodation for an in-person event, please contact us.","2025-09-30","[""ACCESS""]",,,"PUBLISHED"
"c70b3ff6-7c3d-4c0b-bd98-6058248c472a",2025-09-30T01:11:31Z,2025-09-30T04:28:43Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","7)",7,"Shipping & Risk of Loss (merchandise)","Title and risk of loss transfer to you upon carrier acceptance. Delivery estimates are not guarantees. Customs or import fees (if any) are your responsibility.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"cace119b-22fa-4a2d-abc9-249b3aab77c3",2025-09-30T01:11:31Z,2025-09-30T04:34:29Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","15)",15,"Limitation of Liability","To the extent permitted by law, we are not liable for indirect, incidental, special, consequential, or punitive damages, or lost profits/revenue. Our aggregate liability for claims relating to the services will not exceed the amounts you paid to us for the applicable offering in the 3 months before the claim.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"cb7dbcc8-5fe2-4c3b-a609-77c5d2a509c9",2025-09-30T01:11:31Z,2025-09-30T04:37:56Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","10)",31,"Changes","We’ll post updates here with a new “Last updated” date.","2025-09-30","[""PRIVACY""]",,,"PUBLISHED"
"d423d810-1a6b-4704-8342-ba4f35d772e1",2025-11-24T20:28:51Z,2025-11-24T20:36:58Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","1)",45,"Portfolio Projects Disclaimer","Displayed materials represent selected work examples and may reflect different levels of completion.

Due to strict security and intellectual-property requirements, sensitive, classified, or otherwise restricted documents from commercial and defence projects are not eligible for public release.","2025-11-25","[""POPUP"",""PORTFOLIO""]",2025-11-24T20:28:50Z,,"PUBLISHED"
"d680356c-484c-4675-9428-d781ca4fca95",2025-09-30T01:11:31Z,2025-09-30T04:34:29Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","14)",14,"Disclaimers","Services are provided “as is” and “as available”. To the maximum extent permitted by law, we disclaim warranties of merchantability, fitness for a particular purpose, and non-infringement. Content may contain opinions or errors; do not rely on it as professional advice.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"d9ff2547-68b6-4c71-bf4c-89de08381d56",2025-09-30T01:11:31Z,2025-09-30T08:03:13Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","1)",1,"Who We Are","Daniel Clancy Official™ (a product of Brainstream Media Group™) is an entertainment & news podcast based in Sydney, NSW, Australia. The brand is led and owned by Daniel Clancy. The website at https://www.danielclancy.net sells branded merchandise via a white-label fulfilment partner (e.g., Printful) and offers paid VIP membership tiers with paywalled content. Daniel Clancy Official™ and associated logos are trademarks of Daniel Clancy and/or Brainstream Media Group™. The site is developed and maintained by Daniel Clancy (webmaster@brainstream.media).","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"e131058f-acbf-4ef5-ad3d-9934202a1318",2025-09-30T04:30:46Z,2025-09-30T04:37:01Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","7)",26,"YouTube API Services Disclosure","We use YouTube API Services to display near-realtime video, channel, and livestream information. By using our site’s YouTube-powered features, you agree to the YouTube Terms of Service: (https://www.youtube.com/t/terms). Your use of YouTube is also subject to the Google Privacy Policy (http://www.google.com/policies/privacy). We do not request or store your Google account credentials.","2025-09-30","[""PRIVACY""]",2025-09-30T04:30:06Z,,"PUBLISHED"
"e2a5e262-64ec-436c-a036-7a2cae1e78a7",2025-09-30T01:11:31Z,2025-09-30T04:28:43Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","6)",6,"Renewals & Cancellations (memberships)","Unless stated otherwise, memberships renew automatically at the stated interval until cancelled. You can cancel anytime from your account; access continues through the paid-through date. See our Refund Policy for refunds and exceptions.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"e69fc683-921a-46da-8416-54eb35da8f84",2025-09-30T01:11:31Z,2025-09-30T04:28:43Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","10)",10,"API-Sourced Data (ephemeral)","We display near-realtime livestreaming and related info using external APIs (e.g., YouTube Data API v3). This data is used solely for site functionality and is stored ephemerally—it is not archived once no longer valid and is handled in accordance with applicable API/platform policies.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"e7be9379-4461-4dca-8102-7835a786273f",2025-11-24T14:47:14Z,2025-11-24T20:31:48Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","0)",44,"Portfolio Projects","Showcased documents are in various stages of completion - Sensitive, classified or otherwise protected documents (i.e. defence) are not shown for security & IP reasons.","2025-11-25","[""MARQUEE""]",2025-11-24T14:47:13Z,,"PUBLISHED"
"ea551a42-1696-439f-b477-2c8a5ef7c52f",2025-09-30T01:11:31Z,2025-09-30T04:35:13Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","2)",21,"Data We Access, Collect, and Use (including API Data)","● Account & profile: name, email, username/handle, password, and optional profile info you provide.
● Transactions: purchase details (items, price, time, basic billing/shipping info). Card details are processed by our payment providers; we do not receive or store full card numbers.
● Usage data & cookies: device info, pages viewed, approximate location, and preferences. Non-essential cookies only run with consent and can be declined/managed via our cookie banner.
● User Content: posts, comments, messages you submit.
● API-sourced data: we display near-realtime livestreaming information (e.g., YouTube Data API v3). This data is used only to render site functionality and is stored ephemerally (not archived) once no longer valid.
● Discord widget display data (view-only): Our site embeds a Discord server widget that can show online members’ display names, avatars, and online status. This is rendered by Discord and not stored by us for other purposes.
● We may process: (a) account/profile data you provide (e.g., name, email, username); (b) transactional data for purchases (item, price, basic billing/shipping info); (c) usage data and device information via cookies or similar technologies; and (d) API-sourced data from YouTube (e.g., video IDs, titles, channel IDs, thumbnails, livestream status). API-sourced data is used to render site features and is stored ephemerally—no archival storage beyond what is necessary for functionality.","2025-09-30","[""PRIVACY""]",,,"PUBLISHED"
"f8486b0b-67a9-438f-8816-03959a9b99af",2025-09-30T01:11:31Z,2025-09-30T04:41:49Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","3)",41,"Third-Party Content","Some components - such as the Discord server widget used to show online community members- are provided by third parties and may have their own accessibility constraints. Where a barrier exists, contact us at access@brainstream.media and we’ll offer an alternative contact or access path while we work with providers on improvements.","2025-09-30","[""ACCESS""]",,,"PUBLISHED"
